objectid,filename,youtubeid,title,description,creator,genre,publisher,date,isbn,type,format,language,subject
coll001,travel001.jpg,,Rick Steve's Easy Access Europe: A Guide for Travelers with Limited Mobility,A guidebook for travelers with limited mobility that gives accessibility resources and tips,Rick Steves,Non-Fiction,Rick Steves,2006-05-04,1566916682,Image;StilImage,image/jpeg,English,limitedmobility
coll002,travel002.jpg,,The Savvy Backpacker's Guide to Europe on a Budget,"A guide that gives you advice on Trip Planning, Packing, Hostels & Lodging, Transportation & More!",James Feess,Reference,Skyhorse,2015-02-24,1629147389,Image;StilImage,image/jpeg,English,europe;budget
coll003,travel003.png,,"Eat, Walk, Write",An American Senior's Year of Adventure in Paris and Tuscany!,Boyd Lemon,Memoir,Boyd Lemon,2016-09-07,,Image;StilImage,image/png,English,Europe;France;travel
coll004,travel004.jpg,,Train Travel in Europe,Do you love riding trains?  Read this book to plan sustainable and stress-free rail journeys throughout Europe,Lonely Planet,Reference,Lonely Planet,2022-02-22,183869496X,Image;StilImage,image/jpeg,English,travel;railroads;adventure
coll005,travel005.png,,Europe Tour Guide 4,Lonely Planet Europe,Alexis Averbuck,Reference,Lonely Planet,2022-02-08,1788683900,Image;StilImage,image/png,English,travel;europe
coll006,travel006.jpg,,Rick Steves Europe Through the Back Door: The Travel Skills Handbook,Rick Steves Travel Guide,Rick Steves,Non-Fiction,Rick Steves,2022-03-08,1641714093,Image;StilImage,image/jpeg,English,travel;destination;europe
coll007,,g5qTSoMjYhE,Rick Steves’ European Travel Tips and Tricks,,Rick Steves,Non-Fiction,Rick Steves,2019-04-02,,Image;MovingImage,video/mp4,English,video;europe;tips
coll008,travel008.jpg,,"Fodor's Bucket List Europe: From the Epic to the Eccentric, 500+ Ultimate Experiences",Full Color Guide,Fodor's Travel Guides,Non-Fiction,Fodor's Travel,2023-10-24,1640976191,Image;StilImage,image/jpeg,English,bucketList;europe
coll009,travel009.jpg,,For the Love of Europe: ,"My Favorite Places, People, and Stories",Rick Steves,Non-Fiction,Avalon Publishing,2020-07-07,1641711310,Image;StilImage,image/jpeg,English,Europe;travel;places
coll010,travel010.jpg,,Easy-Walking Europe,Tips and Suggested Tours for the (Somewhat) Mobility Impaired,Elizabeth Bingham,Non-Fiction,Independently Published,2020-01-13,1672334101,Image;StilImage,image/jpeg,English,easywalking;travel;disability
coll011,travel011.jpg,,Slow Travel--Retired and Loving It,"A New :How-To"" Guide for Retirees Visiting Europe ",Larry & Lynn Michelsohn,Travel Guide,CreateSpace Independent,2017-03-10,1540372782,Image;StilImage,image/jpeg,English,retirees;seniortravel
coll012,travel012.jpg,,Lynch the Swan--A Lighthearted Travel Memoir,"Slow Travel to Barcelona, Vienna, Budapest, Bratislava, Prague, London, Brighton, Salisbury, Dublin, and Galway",Larry & Lynn Michelsohn,Memoir,CreateSpace Independent,2017-12-15,1547249145,Image;StilImage,image/jpeg,English,retirees;senior;europeantravel
coll013,travel013.jpg,,Seniors Traveling in Europe,Two Seniors walking the streets in a city in Europe,,Digitial Prints,,,,Image;StilImage,image/jpeg,English,travel;europe
